lead_months,origin_date,target_date,hhsa_no_lf_am,hhsa_real_lf_am,envelope_imf3,envelope_imf4,normalized_carrier_imf3,normalized_carrier_imf4,predicted_residual,member,seed
1,2026-07-01,2026-08-01,1.4018854252974862,1.3587737183571136,0.9758561849594116,0.6421090960502625,0.9841527342796326,-0.9615241289138794,1.015785574913025,1,42
1,2026-07-01,2026-08-01,1.3987407927105764,1.351298415024285,0.9755712747573853,0.6392914652824402,0.9723846912384033,-0.9664148688316345,1.0204886198043823,2,43
1,2026-07-01,2026-08-01,1.4039292832007106,1.361967127058744,0.9720909595489502,0.6361551880836487,0.9822772741317749,-0.9685156941413879,1.0232305526733398,3,44
1,2026-07-01,2026-08-01,1.3933825648408558,1.3556937613827422,0.9719563126564026,0.6343024373054504,0.992150068283081,-0.9553877711296082,0.997372031211853,4,45
1,2026-07-01,2026-08-01,1.3788286311387523,1.3253986491182381,0.9716069102287292,0.6430648565292358,0.9875150322914124,-0.960242509841919,0.9834204316139221,5,46
1,2026-07-01,2026-08-01,1.3864553944921312,1.3388328276364838,0.9803435206413269,0.6392549276351929,0.9646245837211609,-0.9683811664581299,1.012211799621582,6,47
1,2026-07-01,2026-08-01,1.3954898908425832,1.3536985347143364,0.9774656891822815,0.6369754076004028,0.9945129752159119,-0.9584062099456787,0.9920774102210999,7,48
1,2026-07-01,2026-08-01,1.4018571790061003,1.3514260951238626,0.9727029800415039,0.64490807056427,0.9840124845504761,-0.9633995890617371,1.0155783891677856,8,49
1,2026-07-01,2026-08-01,1.3589144372418929,1.3146664550578464,0.9778903722763062,0.6400927901268005,0.95122891664505,-0.9570156335830688,0.9970476627349854,9,50
1,2026-07-01,2026-08-01,1.4051809509927793,1.35877776158231,0.9769793152809143,0.6423451900482178,0.9696053266525269,-0.9624386429786682,1.0297112464904785,10,51
2,2026-07-01,2026-09-01,1.0225617291848934,0.9595703070924593,0.9336669445037842,0.6229230761528015,0.7933276295661926,-0.9090632796287537,0.7851430177688599,1,42
2,2026-07-01,2026-09-01,0.9804508640651619,0.9228963237188594,0.9411267042160034,0.6155439019203186,0.8210698366165161,-0.9055404663085938,0.7075654864311218,2,43
2,2026-07-01,2026-09-01,0.9688089569286689,0.916064981299705,0.9354455471038818,0.617118239402771,0.7940579056739807,-0.9117234349250793,0.7359082102775574,3,44
2,2026-07-01,2026-09-01,1.1093842781593324,1.0464015058062373,0.9336469173431396,0.6132456064224243,0.9250245690345764,-0.9146289229393005,0.7436473369598389,4,45
2,2026-07-01,2026-09-01,1.0717830144673428,0.9988387688116376,0.9279229044914246,0.6187297105789185,0.8754287958145142,-0.9143357872962952,0.7522350549697876,5,46
2,2026-07-01,2026-09-01,0.9254613608961897,0.8801579317110182,0.9395151138305664,0.6145881414413452,0.7716150283813477,-0.9048991799354553,0.7113542556762695,6,47
2,2026-07-01,2026-09-01,1.112467830041929,1.0380619478963595,0.9341769814491272,0.6223495006561279,0.8788155317306519,-0.8946234583854675,0.7738611698150635,7,48
2,2026-07-01,2026-09-01,1.031512107041607,0.9760237632466264,0.9330889582633972,0.6169170141220093,0.8315441012382507,-0.8996883034706116,0.75515216588974,8,49
2,2026-07-01,2026-09-01,0.9919805966546065,0.9313776733867165,0.9380626082420349,0.6160392165184021,0.8262524604797363,-0.9106625914573669,0.7173050045967102,9,50
2,2026-07-01,2026-09-01,1.0209930197293708,0.9679283230642142,0.9408932328224182,0.6213200688362122,0.830651581287384,-0.9130342602729797,0.7536603808403015,10,51
3,2026-07-01,2026-10-01,0.9477057255487722,0.8538063266635518,0.8806021809577942,0.5902782678604126,0.8680497407913208,-0.8434104919433594,0.5872467160224915,1,42
3,2026-07-01,2026-10-01,0.9830848946546631,0.90064501572542,0.891954779624939,0.588775098323822,0.870242178440094,-0.8250195384025574,0.6101793050765991,2,43
