lead_months,origin_date,target_date,hhsa_no_lf_am_mean,hhsa_no_lf_am_median,hhsa_no_lf_am_p10,hhsa_no_lf_am_p90,hhsa_real_lf_am_mean,hhsa_real_lf_am_median,hhsa_real_lf_am_p10,hhsa_real_lf_am_p90
1,2026-07-01,2026-08-01,1.3924664549763868,1.3971153417765798,1.3768372117490664,1.4040544499799175,1.3470533345055962,1.3525623149190995,1.324325429712199,1.3590966981299535
2,2026-07-01,2026-09-01,1.0235403757169101,1.0217773744571321,0.964474197325421,1.109692633347592,0.9637321526033833,0.9637493150783367,0.9124742763408363,1.0388959036873473
3,2026-07-01,2026-10-01,1.020328026056773,1.0263197120072096,0.979546977744074,1.0589670203094954,0.9255936494628756,0.931406501653095,0.8959611468192332,0.9655231619976969
4,2026-07-01,2026-11-01,0.7992891506193207,0.7999463835551346,0.7429069906568575,0.8462804135922937,0.6627916246104928,0.6676258948538685,0.6158890518741569,0.6991203402726196
5,2026-07-01,2026-12-01,0.6104387896907649,0.6080217481762791,0.5869943584709698,0.6473612958734467,0.4616359075817268,0.4558674016712132,0.4383044555585446,0.5030807138663697
6,2026-07-01,2027-01-01,0.48821620042693803,0.47302121865153435,0.4590600027948284,0.5534222718869348,0.35463920314840713,0.3441129983868283,0.3317782628138682,0.4054051964522015
7,2026-07-01,2027-02-01,0.3533496800226673,0.3427358520377082,0.32949743180284574,0.3885267852813553,0.2789449307629945,0.2721149057868484,0.2526577017875806,0.31134775166110423
8,2026-07-01,2027-03-01,0.33079969978492246,0.32473850701271534,0.30104959214816196,0.3631799847276689,0.30423220519135497,0.29770109643680476,0.27257142832190445,0.3377053472518844
9,2026-07-01,2027-04-01,0.2815315660436356,0.2809433132070692,0.24510545604415007,0.3150032301274861,0.2768421023572012,0.2787508726825472,0.2403325926668303,0.30860823960300865
10,2026-07-01,2027-05-01,0.164804889422351,0.1744280210327381,0.11193241333460227,0.21376109104618526,0.1742322128829609,0.177654309767043,0.12618173864936988,0.21919838272733105
11,2026-07-01,2027-06-01,0.08740550715348747,0.08450549541627095,0.05705293486229488,0.13759359726935333,0.11224001304677556,0.11232907516570223,0.08721383130165253,0.15127807701378837
12,2026-07-01,2027-07-01,0.024230990015557553,0.0202260500960878,-0.008496854484608728,0.0560071691960135,0.09750847179366509,0.0899158349801168,0.06210582943544143,0.1295225321077236
13,2026-07-01,2027-08-01,-0.13572700108626562,-0.13795177977521034,-0.16014374457127847,-0.11094026153988425,0.021910736751714666,0.013226966556552533,-0.003932337150933662,0.05935087730912549
14,2026-07-01,2027-09-01,-0.2343699578226177,-0.2343010314477585,-0.26964248855599493,-0.2071302641504632,-0.03554839250263111,-0.03000168015287663,-0.08123185833791968,-0.0023481652732444402
15,2026-07-01,2027-10-01,-0.23190186243016003,-0.23019300918323315,-0.25270801190569925,-0.21301493687145304,0.010349203683230534,0.005755330764663391,-0.006773727639749793,0.04192130457434153
16,2026-07-01,2027-11-01,-0.1519164025869138,-0.15458842274105145,-0.19646806101390107,-0.11145595541888965,0.13906182091113842,0.12689158456327831,0.09500051806608259,0.18931214478016223
17,2026-07-01,2027-12-01,0.1406590301134562,0.12537846709890843,0.09975401108394415,0.19737724250975164,0.46358460753587244,0.46689526849982244,0.4160014388483392,0.5165014181777596
