lead_months,origin_date,target_date,hhsa_no_lf_am,hhsa_real_lf_am,envelope_imf3,envelope_imf4,normalized_carrier_imf3,normalized_carrier_imf4,predicted_residual
1,2026-07-01,2026-08-01,1.4018854252974862,1.3587737183571136,0.9758561849594116,0.6421090960502625,0.9841527342796326,-0.9615241289138794,1.015785574913025
2,2026-07-01,2026-09-01,1.0225617291848934,0.9595703070924593,0.9336669445037842,0.6229230761528015,0.7933276295661926,-0.9090632796287537,0.7851430177688599
3,2026-07-01,2026-10-01,0.9477057255487722,0.8538063266635518,0.8806021809577942,0.5902782678604126,0.8680497407913208,-0.8434104919433594,0.5872467160224915
4,2026-07-01,2026-11-01,0.7905943661017645,0.6456080054970634,0.7486756443977356,0.5711114406585693,0.6714648604393005,-0.6960291862487793,0.5404088497161865
5,2026-07-01,2026-12-01,0.6165224867071899,0.4275741948951506,0.6241570711135864,0.5478904247283936,0.5877339243888855,-0.5648912191390991,0.3702344000339508
6,2026-07-01,2027-01-01,0.4883050949204364,0.3536842238356286,0.6196512579917908,0.5239846110343933,0.4667067229747772,-0.4551745355129242,0.3029932677745819
7,2026-07-01,2027-02-01,0.33016893016522797,0.2532827523801062,0.6307080388069153,0.49036070704460144,0.314298540353775,-0.37647876143455505,0.2396625280380249
8,2026-07-01,2027-03-01,0.3220722513226839,0.2908174547929061,0.6677243113517761,0.4952358603477478,0.17068073153495789,-0.17225879430770874,0.26215851306915283
9,2026-07-01,2027-04-01,0.31328234428432883,0.29873118632880913,0.6306179165840149,0.4523136615753174,0.08780038356781006,-0.014417656697332859,0.2498839944601059
10,2026-07-01,2027-05-01,0.16582668531023897,0.16544099730860903,0.6284810900688171,0.44038814306259155,-0.004358151461929083,0.07879524677991867,0.1334795206785202
11,2026-07-01,2027-06-01,0.16692250575401513,0.17744895469541255,0.5023605227470398,0.4074845612049103,-0.07411137968301773,0.16926591098308563,0.14570634067058563
12,2026-07-01,2027-07-01,0.0017981732357554847,0.08451001085690812,0.4374198913574219,0.3963453471660614,-0.29912269115448,0.3478296399116516,0.07749156653881073
13,2026-07-01,2027-08-01,-0.11370278111687071,0.0590083802934771,0.3793741464614868,0.3942030966281891,-0.5140664577484131,0.483062744140625,0.06360707432031631
14,2026-07-01,2027-09-01,-0.26893850386190365,-0.05061495574288344,0.42096853256225586,0.40402549505233765,-0.6364277601242065,0.5820314288139343,-0.01785443164408207
15,2026-07-01,2027-10-01,-0.22222930914692007,0.004534932242133749,0.4266049265861511,0.3474060297012329,-0.7566652894020081,0.7241867184638977,0.07574523985385895
16,2026-07-01,2027-11-01,-0.13952737879012034,0.11768864659032019,0.4132162630558014,0.30648136138916016,-0.8387018442153931,0.8763566017150879,0.19566692411899567
17,2026-07-01,2027-12-01,0.13135748788426937,0.4656062992739525,0.3484098017215729,0.2665652930736542,-0.8723813891410828,1.0050642490386963,0.5016372799873352
