date,c2.18_am9.51_energy,c2.18_am9.51_relative,c2.18_am13.45_energy,c2.18_am13.45_relative,c2.18_am19.03_energy,c2.18_am19.03_relative,c2.18_am29.34_energy,c2.18_am29.34_relative,c4.00_am9.51_energy,c4.00_am9.51_relative,c4.36_am11.31_energy,c4.36_am11.31_relative,c4.36_am17.45_energy,c4.36_am17.45_relative,c4.36_am24.68_energy,c4.36_am24.68_relative,c5.66_am17.45_energy,c5.66_am17.45_relative,c6.73_am14.67_energy,c6.73_am14.67_relative
1948-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0.161598749237,0.288501456,0,0,0.0586498636961,0.147359758,0,0
1949-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25545087954,0.641828939,0,0
1950-04-01,0,0,0,0,0,0,0.00186091678545,0.0268905635,0,0,0,0,0,0,0,0,0.282895009947,0.710783241,0,0
1950-12-01,0,0,0.125458531215,0.506757773,0,0,0.0157008207625,0.226879526,0,0,0,0,0,0,0,0,0.388158736347,0.975261899,0,0
1951-08-01,0.0194408566705,0.0258479562,0.149063113579,0.602102469,0,0,0.0172167019559,0.248784266,0,0,0,0,0,0,0,0,0.179978808631,0.452202819,0.15828306183,0.455740642
1952-04-01,0.0123642327569,0.0164390979,0.199897130051,0.807433527,0,0,0.0188279006995,0.272066362,0,0,0,0,0,0,0,0,0,0,0.319915529001,0.921125146
1952-11-01,0.0127488594471,0.0169504856,0.164351267125,0.66385507,0,0,0.0178672305909,0.258184516,0,0,0,0,0,0,0,0,0,0,0.347309516241,1
1953-07-01,0,0,0.0453898064969,0.183340559,0.017312739521,0.0533797631,0.0220872585956,0.319164637,0,0,0,0,0,0,0,0,0.398004614578,1,0.106865127783,0.307694212
1954-03-01,0,0,0,0,0.0719183799629,0.221743421,0.0117337976215,0.169555368,0,0,0,0,0,0,0,0,0.390379571562,0.980841823,0,0
1954-11-01,0,0,0,0,0,0,0,0,0,0,0.113017085383,0.145744852,0,0,0.184344667408,0.389122391,0,0,0,0
1955-07-01,0.0159392681847,0.0211923534,0,0,0.00555287703354,0.0171209912,0,0,0,0,0.296619444336,0.382515234,0,0,0.473744692143,1,0,0,0,0
1956-03-01,0.00791624103716,0.010525187,0,0,0.00271003942076,0.00835576958,0,0,0.0157111631307,0.0193681699,0.291049743129,0.375332645,0,0,0.444487639002,0.938242995,0,0,0,0
1956-11-01,0,0,0,0,0.0111114890854,0.0342596649,0.0692033391384,1,0,0,0.288273791478,0.371752827,0,0,0.411866272468,0.869384458,0,0,0,0
1957-06-01,0,0,0,0,0.0143004605578,0.0440921089,0.0416289959434,0.601546059,0,0,0.252958941013,0.326211415,0,0,0.331708613672,0.700184338,0,0,0,0
1958-02-01,0,0,0,0,0.117324205755,0.361741612,0,0,0,0,0.220245253521,0.284024417,0,0,0.256405841289,0.541232114,0,0,0,0
1958-10-01,0.0147863886374,0.0196595208,0.0648100508807,0.261783688,0.0102167694186,0.0315010071,0,0,0,0,0.224363045908,0.28933465,0,0,0.307887407254,0.649901545,0,0,0,0
1959-06-01,0,0,0,0,0,0,0.00022577711357,0.00326251762,0,0,0.0367318104236,0.0473686986,0.0781959072395,0.139602771,0.274054020946,0.578484626,0.00679064629329,0.0170617275,0,0
1960-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0.12475113476,0.222717591,0.221041508712,0.46658361,0.0127086311112,0.0319308637,0,0
1960-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961-06-01,0,0,0,0,0,0,0,0,0.0398731406888,0.0491542069,0.0126584529414,0.016324119,0,0,0,0,0,0,0,0
1962-01-01,0,0,0,0,0,0,0,0,0.0883462747394,0.108910184,0,0,0,0,0.0672892404812,0.142036927,0,0,0,0
1962-09-01,0.276361392231,0.36744148,0,0,0,0,0,0,0,0,0,0,0.131020113142,0.233909567,0.245085107085,0.517335838,0,0,0,0
1963-05-01,0.514631379761,0.684237818,0,0,0,0,0,0,0.0435668230385,0.0537076488,0.130825500564,0.168710272,0,0,0,0,0,0,0,0
1964-01-01,0.603490452444,0.802382067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964-09-01,0.337488272817,0.448713873,0.173630547532,0.701336359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965-05-01,0.751153123582,0.998709746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561041887479,0.161539451
1966-01-01,0.603396341542,0.802256941,0.0136524857823,0.055145738,0.000581151445515,0.00179184389,0,0,0,0,0,0,0.00159568694995,0.0028487721,0,0,0,0,0,0
1966-08-01,0.518906867456,0.689922373,0,0,0,0,0,0,0,0,0.0133791153125,0.0172534725,0.0330619536855,0.0590253442,0,0,0,0,0,0
1967-04-01,0,0,0,0,0.000349666790762,0.00107811536,0,0,0,0,0,0,0.0650049290246,0.116052982,0.122606208749,0.258802285,0,0,0,0
1967-12-01,0.107685663915,0.143175497,0,0,0,0,0,0,0.215478256648,0.265634024,0,0,0,0,0,0,0,0,0,0
1968-08-01,0.75212355422,1,0,0,0.00147027744034,0.00453325491,1.33198795862e-07,1.92474521e-06,0.00139147094637,0.00171535649,0,0,0,0,1.22429483935e-07,2.58429247e-07,0,0,0,0
1969-04-01,0.213689228715,0.284114528,0,0,0.000380795347994,0.00117409295,0,0,0.316762685364,0.390493909,0,0,0,0,0,0,0,0,0,0
1969-12-01,0,0,0,0,0,0,0,0,0.314467810018,0.387664868,0,0,0,0,0.00458172199525,0.00967128935,0,0,0,0
1970-08-01,0.00203608406306,0.00270711381,0,0,0.00405917051915,0.0125154982,1.07740583377e-06,1.55686972e-05,0.811184701626,1,0,0,0,0,0.00934959395722,0.0197355118,0,0,0,0
1971-03-01,0,0,0,0,0,0,0,0,0.0996525338004,0.122848142,0.0401877667184,0.0518254393,0,0,0,0,0,0,0,0
